ticker	t	n_	n	p_	p	n_buy	n_sell	n_dvdnd	n_cmpns	n_delta	n_hld	cst_buy	cst_sell	prc_b	prc_s	v_dividend	prft_cmpns	prft_delta	prft_hld	prft_dvdnd	fee	profit	value
~cash	2020-10-01 07:00	0	200000	1	1	0	0	0	0	0	0	0	0			0	0	0	0	0	0.0	0.0	200000
~cash	2020-10-01 08:00	200000	200000	1	1	0	0	0	0	0	200000	0	0			0	0	0	0	0	0.0	0.0	200000
~cash	2020-10-01 09:00	200000	200000	1	1	0	0	0	0	0	200000	0	0			0	0	0	0	0	0.0	0.0	200000
~cash	2020-10-01 10:00	200000	200000	1	1	0	0	0	0	0	200000	0	0			0	0	0	0	0	0.0	0.0	200000
~cash	2020-10-01 11:00	200000	200000	1	1	0	0	0	0	0	200000	0	0			0	0	0	0	0	0.0	0.0	200000
~cash	2020-10-01 12:00	200000	200000	1	1	0	0	0	0	0	200000	0	0			0	0	0	0	0	0.0	0.0	200000
~cash	2020-10-01 13:00	200000	200000	1	1	0	0	0	0	0	200000	0	0			0	0	0	0	0	0.0	0.0	200000
~cash	2020-10-01 14:00	200000	200000	1	1	0	0	0	0	0	200000	0	0			0	0	0	0	0	0.0	0.0	200000
~cash	2020-10-01 15:00	200000	200000	1	1	0	0	0	0	0	200000	0	0			0	0	0	0	0	0.0	0.0	200000
~cash	2020-10-01 16:00	200000	200000	1	1	0	0	0	0	0	200000	0	0			0	0	0	0	0	0.0	0.0	200000
~cash	2020-10-01 17:00	200000	200000	1	1	0	0	0	0	0	200000	0	0			0	0	0	0	0	0.0	0.0	200000
~cash	2020-10-01 18:00	200000	200000	1	1	0	0	0	0	0	200000	0	0			0	0	0	0	0	0.0	0.0	200000
~cash	2020-10-01 19:00	200000	200000	1	1	0	0	0	0	0	200000	0	0			0	0	0	0	0	0.0	0.0	200000
~cash	2020-10-01 20:00	200000	200000	1	1	0	0	0	0	0	200000	0	0			0	0	0	0	0	0.0	0.0	200000
~cash	2020-10-02 07:00	200000	200000	1	1	0	0	0	0	0	200000	0	0			0	0	0	0	0	0.0	0.0	200000
~cash	2020-10-02 08:00	200000	200000	1	1	0	0	0	0	0	200000	0	0			0	0	0	0	0	0.0	0.0	200000
~cash	2020-10-02 09:00	200000	200000	1	1	0	0	0	0	0	200000	0	0			0	0	0	0	0	0.0	0.0	200000
